id,deepseek_glevel,deepseek_123,n_models_agree,n_models_total
558a327cfdf99b2d75651681,HIGH,3,22,28
55a44167fdf99b12b371c88c,MEDIUM,2,12,28
56ac1289f209e0000cdabbe6,MEDIUM,2,5,28
56cc78e3ccc0e20006b82a7d,HIGH,3,23,28
580d5d1f357e890001dd14ce,LOW,1,4,28
58c1ce3c3783090001b49355,LOW,1,19,28
59014ee029f42300013cc5b7,LOW,1,11,28
598ba20f716a2c000187ce01,HIGH,3,12,28
5b894987e79bf50001e1ff95,MEDIUM,2,2,28
5bc5356e65cfb8000154bd82,MEDIUM,2,5,28
5bebd4111296920001d55c5a,MEDIUM,2,5,28
5bfd81fb2feab400014d9060,MEDIUM,2,1,28
5c076bc5e30c400001fc6f5a,MEDIUM,2,7,28
5c5198da659655000168955d,MEDIUM,2,3,28
5c552224f979a40001c44e4d,LOW,1,16,28
5c92aa671ce0cd00128c6c86,MEDIUM,2,3,28
5c9ac1ed2497d20001689f53,HIGH,3,14,28
5cc3f0f9fdb33500018c5eeb,MEDIUM,2,0,28
5cc8cab1f67ce800171cc5b2,HIGH,3,25,28
5ce2dac69ab6de0018fabe6d,LOW,1,4,28
5d1e2045a37a4d001a1fc2cb,LOW,1,24,28
5d8934dc4c680f00181616f8,MEDIUM,2,0,28
5d99898ab82ce10398fc1556,MEDIUM,2,7,28
5dc7870428e0d566b626bcb9,MEDIUM,2,6,28
5dcdb60be64aaa07c14065cc,MEDIUM,2,7,28
5dd1013c92b0d219edafe572,MEDIUM,2,1,28
5dd365bdaf16d337333e212e,MEDIUM,2,10,28
5dd5bde832699257cc9a2fef,HIGH,3,4,28
5de78a77599d506f27692fcf,MEDIUM,2,2,28
5de9ce848b29320fd922c587,MEDIUM,2,4,28
5dec01e809c107301c5e307f,MEDIUM,2,5,28
5dedec3919398a49e1133b0d,LOW,1,0,28
5e55c629171aa20a11be18ea,MEDIUM,2,6,28
5e836a3c2598d409928dae31,HIGH,3,11,28
5e83d36b6d7daf107aea7a7c,MEDIUM,2,5,28
5e8801fc141e8b4872b73310,MEDIUM,2,5,28
5e88dd7a0febe805d3a120b6,HIGH,3,24,28
5ea4c1cb7a313648ab349f3d,MEDIUM,2,5,28
